animeTitle	b'Yamakagashi'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'This work, the title of which refers to a species of venomous snake, focuses on interactions between troops and sex workers near Naval Air Facility Atsugi (Kanagawa Prefecture), animated from a child\xe2\x80\x99s perspective. Aihara\xe2\x80\x99s works of this period often incorporate a documentary viewpoint of Japanese society at the time of his childhood.\n\n(Source: Collaborative Cataloging Japan)'
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
