animeTitle	b'Iya na Kao sare nagara Opantsu Misete Moraitai'
animeType	b'ONA'
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	5.74
animeUsers	24517
animeRank	
animePopularity	
animeDescription	b'A project where a number of women in different costumes show their panties while they make a disgusted face.'
animeRelated	[b'Iya na Kao sare nagara Opantsu Misete Moraitai: Yo wa Pantsu ga Mitai zo', b'Iya na Kao sare nagara Opantsu Misete Moraitai 2']
animeCharacters	[b'Itou, Chitose', b'Takayama, Maria', b'Tanahashi, Misuzu', b'Sega, Airi', b'Izumo, Iori', b'Yuina']
animeVoices	[b'\nIshigami, Shizuka\nJapanese\n', b'\nHata, Sawako\nJapanese\n', b'\nKoga, Aoi\nJapanese\n', b'\nYoshimura, Haruka\nJapanese\n', b'\nAkasaki, Chinatsu\nJapanese\n', b'\nNagano, Yuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\n40-hara\n\nOriginal Creator\n\n']
