animeTitle	Start
animeType	ONA
animeNumEpisode	1
releaseDate	2019-11-02 00:00:00
endDate	
animeNumMembers	
animeScore	5.31
animeUsers	139
animeRank	
animePopularity	13695
animeDescription	"A Machida City tourism promotion anime. The story follows a married couple who recall their university days hanging out in Machida, and upon revisiting the area they discover the appeal of living there with their son. 

(Source: ANN)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
