animeTitle	Karl to Fushigi na Tou
animeType	TV
animeNumEpisode	26
releaseDate	2010-10-08 00:00:00
endDate	2011-04-15 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13629
animeDescription	"The story centers around a mysterious tall tower built from an (unsteady) stack of building blocks. Every morning, noon, and evening, an old timekeeping man rings the bell in the tower to confirm the time for the local townspeople. However, one day at noon, the tower bell fails to ring — leaving the townspeople confused about when to eat lunch. The fantasy adventure begins when Karl, an inquisitive boy living in the town, decides to go to the tower's plaza to see what is the matter.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Karl', 'Bom', 'Betoskos Danchou', 'Lilia', 'Tokimori Jii-san', 'Panett', 'Lolo']
animeVoices	['Takahata, Mitsuki', 'Ushida, Hiroko', 'Taketora', 'Nanba, Shiho', 'Fukumatsu, Shinya', 'Nonaka, Ai', 'Seiwa, Yuuko']
animeStaff	[['Takagi, Jun', 'Director'], ['Umoto, Yuuji', 'Episode Director'], ['Maruo, Miho', 'Script'], ['Watanabe, Cheru', 'Music']]
