animeTitle	Macross Fufonfia
animeType	ONA
animeNumEpisode	20
releaseDate	
endDate	
animeNumMembers	
animeScore	5.56
animeUsers	770
animeRank	
animePopularity	8377
animeDescription	"A parody of the Macross Frontier series where the cast of characters are taken and set in present day Tokyo. Ranka starts her new job as a O.L. (Office Lady) at a game development company (Frontier Software) where and her friend Nanase is working. On the first day she has an eventful run in with the president of the company, Sheryl, and Sheryl's personal assistant Grace. Watch as Ranka learns the ways of a pro O.L. the hard way.
"
animeRelated	['Macross F', 'Macross Fufonfia Specials']
animeCharacters	['Nome, Sheryl', 'Lee, Ranka', 'Matsuura, Nanase']
animeVoices	[]
animeStaff	[]
