animeTitle	Ranma ½: Akumu! Shunmin Kou
animeType	OVA
animeNumEpisode	1
releaseDate	2008-07-31 00:00:00
endDate	
animeNumMembers	12202
animeScore	7.52
animeUsers	5434
animeRank	1575
animePopularity	4902
animeDescription	"Twelve years after the final OVA was shown, and the end of the manga, a new piece of Ranma ½ animation was made for the ""It's a Rumic World"" exhibition of Rumiko Takahashi's artwork. The new 30 minute special is based on the ""Nightmare! Incense of Spring Sleep"" manga story from volume 34, and was shown on odd numbered days at the ""It's A Rumic World"" exhibition in Tokyo from July 30th to August 11th.

(Source: Wikipedia)"
animeRelated	['Ranma ½']
animeCharacters	['Saotome, Ranma', 'Tendou, Akane', 'Inuyasha', 'Miroku', 'Hibiki, Ryouga', 'Shampoo', 'Shippou', 'Kuonji, Ukyo', 'Tendou, Nabiki', 'Happosai']
animeVoices	['Hayashibara, Megumi', 'Hidaka, Noriko', 'Yamadera, Kouichi', 'Sakuma, Rei', 'Tsuru, Hiromi', 'Takayama, Minami', 'Nagai, Ichiro']
animeStaff	[['Mori, Takeshi', 'Director'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Satou, Teruo', 'Episode Director'], ['Matsumoto, Norio', 'Key Animation']]
