animeTitle	Yakusoku no Neverland 2nd Season
animeType	TV
animeNumEpisode	11
releaseDate	
endDate	
animeNumMembers	
animeScore	5.45
animeUsers	295181
animeRank	
animePopularity	170
animeDescription	"Emma, Ray, and the rest of the older children have escaped the confines of the Grace Field House. However, with relentless demons set on capturing them, their arduous battle for freedom has only just begun.

Despite venturing into the treacherous wilderness, the children remain optimistic due to their possession of books written by William Minerva. Coded within his books are messages detailing the world outside the farm—information that can help them survive with the limited resources they have. But when their pursuers draw near, the children soon encounter their most dreadful situation yet. 

In Yakusoku no Neverland 2nd Season, the children struggle to survive in the strange ruthless world, striving to find a sanctuary they can truly call home.

[Written by MAL Rewrite]"
animeRelated	['Yakusoku no Neverland', 'Yakusoku no Neverland 2nd Season: Michishirube']
animeCharacters	['Ray', 'Norman', 'Emma', 'Phil', 'Isabella', 'Mujika', 'Gilda', 'Don', 'Sonju', 'Anna']
animeVoices	['Ise, Mariya', 'Uchida, Maaya', 'Morohoshi, Sumire', 'Kouno, Hiyori', 'Tanezaki, Atsumi', 'Lynn', 'Ueki, Shinei', 'Kamio, Shinichirou', 'Kayano, Ai']
animeStaff	[['Kanbe, Mamoru', 'Director'], ['Shimizu, Katsunori', 'Sound Director'], ['Yamamoto, Ken', 'Episode Director, Storyboard'], ['Eve', 'Theme Song Composition, Theme Song Lyrics']]
