animeTitle	Jinki:Extend
animeType	TV
animeNumEpisode	12
releaseDate	2005-01-06 00:00:00
endDate	2005-03-24 00:00:00
animeNumMembers	
animeScore	6.12
animeUsers	3734
animeRank	
animePopularity	5234
animeDescription	"Aoba is a young girl who loves to build models of robots. She lived alone with her grandmother until her grandmother passes away. Shortly after she is kidnapped and brought to a secret base where she discovers a huge robot. The piloted robots fight against Ancient-Jinki in The Grand Savanna, but the true meaning behind the fights is hidden. Aoba works hard at the base so one day she can pilot one of the robots and discover these secrets. 
"
animeRelated	['Jinki:Extend', 'Jinki:Extend - Sorekara']
animeCharacters	['Tsuzaki, Aoba', 'Hiiragi, Akao', 'Ogawara, Ryouhei', 'Shiva', 'Kousaka, Rui', 'Tachibana, Elny', 'Kouse', 'Vanette, Mel J', 'Kawamoto, Hiroshi', 'Kokusho']
animeVoices	['Orikasa, Fumiko', 'Inamura, Yuuna', 'Takewaka, Takuma', 'Hiramatsu, Akiko', 'Tamura, Yukari', 'Kawakami, Tomoko', 'Miyano, Mamoru', 'Minagawa, Junko', 'Hirakawa, Daisuke', 'Namikawa, Daisuke']
animeStaff	[['Chung, Jin Ho', 'Producer'], ['Murata, Masahiko', 'Director'], ['Wakabayashi, Kazuhiro', 'Sound Director'], ['angela', 'Theme Song Performance']]
