animeTitle	Fuyu no Sonata
animeType	TV
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	7.37
animeUsers	4300
animeRank	
animePopularity	3857
animeDescription	Based on the Korean Drama of the same name, Yoo Jin falls in love with Joon Sang as a young girl. After losing him in an accident, she decides to marry her childhood friend. However, Yoo Jin meets someone looking exactly like her lost love, putting her in a bind.  The program featured 23 members of the original Korean cast voicing the characters and was broadcast with Japanese subtitles.
animeRelated	['Fuyu no Sonata', 'Fuyu no Sonata Episode 0']
animeCharacters	['Jeong, Yu Jin', 'Lee, Min Hyung', 'Kim, Sang-Hyuk', 'Oh, Chelin']
animeVoices	[]
animeStaff	[['Nakayama, Daisuke', 'Director, Storyboard'], ['Kanasaki, Takaomi', 'Storyboard'], ['Namura, Hidetoshi', 'Storyboard'], ['Kurahashi, Shizuo', 'Sound Effects']]
