animeTitle	Blood Royale
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.6
animeUsers	1609
animeRank	
animePopularity	7157
animeDescription	"A perverted pirate sails the seven seas, armed with a torture chamber and his depraved imagination. Nothing is off limits in this bizarre excursion into a world of erotic peril. 

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Sakuya', 'Naucratis, Milte', 'Jun']
animeVoices	[]
animeStaff	[['Shinbou, Akiyuki', 'Director']]
