animeTitle	King's Raid: Ishi wo Tsugumono-tachi
animeType	TV
animeNumEpisode	26
releaseDate	2020-10-03 00:00:00
endDate	2021-03-27 00:00:00
animeNumMembers	
animeScore	5.98
animeUsers	11040
animeRank	
animePopularity	2432
animeDescription	"Long ago, the king of Orvelia, Kyle, defeated the demon king Angmund and brought peace to the world. However, one hundred years later, demons have been sighted in the forests, threatening humanity once more. A scouting expedition is sent to verify the claim but only one member returns. Meanwhile, Riheet, the leader of a dark elf mercenary group, plots to take over Orvelia to exact revenge against the humans who forsook their race a century ago.

The knight apprentice Kasel, accompanied by the priestess Frey, sets out to rescue Clause, an old friend who went missing in the tragic mission. However, along the way,  Kasel discovers that he is the son of the revered King Kyle and the only one who can wield the Holy Sword Aea—the same sword that slew the demon king. To fulfill this destiny, the young knight must embark on a perilous quest, unseal the sword, and end the fear instilled by demons. As Kasel's journey to bring hope to humanity and Riheet's vow for vengeance intertwine, what fate could possibly await them?

[Written by MAL Rewrite]"
animeRelated	[]
animeCharacters	['Kasel', 'Cleo', 'Frey', 'Roi', 'Theo', 'Scarlet', 'Riheet', 'Maria', 'Ripine', 'Jane']
animeVoices	['Ishikawa, Kaito', 'Ozawa, Ari', 'Kakuma, Ai', 'Kawanishi, Kengo', 'Horie, Shun', 'Nakae, Mitsuki', 'Suzuki, Ryouta', 'Nakamura, Sakura', 'Nanjou, Yoshino', 'Toyota, Moe']
animeStaff	[['Hoshino, Makoto', 'Director'], ['Hamano, Takatoshi', 'Sound Director'], ['fripSide', 'Theme Song Performance'], ['KOTOKO', 'Theme Song Performance']]
