animeTitle	b'Hyakujitsu no Bara'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.57
animeUsers	16904
animeRank	
animePopularity	
animeDescription	"b'Two soldiers from warring countries are bound by a pledge as master and servant. Taki Reizen is a Commander of sublime beauty, shouldering the fate of his nation. Called ""Mad Dog"" because of his rough temperament, Klaus has sworn his loyalty to him as a knight. Despite this, those around them are cold and disapproving, full of various misgivings. For all their genuine feelings, what will come of love made cruel by the violence of war? \n'"
animeRelated	[b'Hyakujitsu no Bara', b'Hyakujitsu no Bara: Jinginaki Nikukyuu-hen']
animeCharacters	[b'Reizen, Taki', b'von Wolfstadt, Klaus']
animeVoices	[b'\nChiba, Susumu\nJapanese\n', b'\nInoue, Kazuhiko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nEnatsu, Yuki\n\nScript, Series Composition\n\n', b'\nInariya, Fusanosuke\n\nOriginal Creator\n\n']
