animeTitle	b'Kemono Jihen'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.44
animeUsers	107601
animeRank	
animePopularity	
animeDescription	"b'Kohachi Inugami, a detective who specializes in the occult, arrives at a remote village in the Japanese countryside, tasked by a hostess at a local inn to investigate a string of incidents involving rotting and mutilated livestock corpses that have been appearing for seemingly no reason. While surveying, Inugami notices a peculiar young boy working in the fields. Evaded by his peers and called ""Dorotabou"" for his stench, the young farmhand is surprised that anybody would take an interest in him.\n\nInugami, piqued with curiosity, enlists Dorotabou in helping him with the investigation, despite scorned looks from the villagers. Unbeknownst to Dorotabou, this investigation will reveal a strange new world to him\xe2\x80\x94one of the beast-like entities known as Kemono existing in tandem with humans\xe2\x80\x94along with breathing new purpose into his previously empty life.\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Kemono Jihen']
animeCharacters	[b'Kusaka, Kabane', b'Iwakiyamayukisatoshironanogojuurokushi, Akira', b'Tademaru, Shiki', b'Inugami, Kohachi', b'Kon', b'Florescu, Mihai', b'Nobimaru', b'Iwakiyamayukisatoshironanogojuurokushi, Yui', b'Tademaru, Aya', b'Inari, Yoko']
animeVoices	[b'\nFujiwara, Natsumi\nJapanese\n', b'\nMurase, Ayumu\nJapanese\n', b'\nHanae, Natsuki\nJapanese\n', b'\nSuwabe, Junichi\nJapanese\n', b'\nHanamori, Yumiri\nJapanese\n', b'\nOno, Daisuke\nJapanese\n', b'\nShimono, Hiro\nJapanese\n', b'\nIshikawa, Kaito\nJapanese\n', b'\nHondo, Kaede\nJapanese\n', b'\nHanazawa, Kana\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nFujimori, Masaya\n\nDirector\n\n', b'\nNagasaki, Yukio\n\nSound Director\n\n', b'\nKimura, Noboru\n\nScript, Series Composition\n\n', b'\nOno, Daisuke\n\nTheme Song Performance\n\n']
