animeTitle	b'Rebecca'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.36
animeUsers	241
animeRank	
animePopularity	
animeDescription	b'Set in a rural town in Maine, USA, at the end of the 19th century. The second of seven siblings, Rebecca, is a bright and energetic 10-year-old girl. When her father dies, Rebecca\xe2\x80\x99s life becomes harder and she is sent to live with her two aunts, Miranda and Jane. Rebecca, who admires the gentle Jane, constantly cowers from the strict and nagging Miranda. One day, Rebecca is scolded by Miranda for going out in a pink dress that Jane had made for her by hand. After Miranda insults her father, Rebecca explodes and leaves the house in a rage\xe2\x80\xa6\n\n(Source: JMAF Overseas Promotion)'
animeRelated	[b'Ometeotl Hero', b'Michiru Rescue!']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
