animeTitle	Kakyuusei (TV)
animeType	TV
animeNumEpisode	13
releaseDate	1999-07-02 00:00:00
endDate	1999-09-24 00:00:00
animeNumMembers	
animeScore	6.22
animeUsers	809
animeRank	
animePopularity	7034
animeDescription	"When Tsuyoshi rushed to school as usual, he found a girl who tried to help a kitten which couldn't get down from a tree. It was Minamizato Ai who had loved Tsuyoshi secretly for a long time.

(Source: AniDB)"
animeRelated	['Kakyuusei 2: Hitomi no Naka no Shoujo-tachi', 'Elf-ban Kakyuusei: Anata dake wo Mitsumete...', 'Kakyuusei 2: Anthology', 'Kakyuusei', 'Kakyuusei (TV): Hajimemashite Tina!']
animeCharacters	"['Kamiyama, Miko', 'Yuuki, Mizuho', 'Minamizato, Ai', 'Yamaguchi, Tsuyoshi', 'Mochida, Mahoko', 'Kanou, Ryouko', 'Mitsuki, Shizuka', ""Miko's Father"", 'Gotou, Minoru', 'Dogeza Master']"
animeVoices	['Hoshikawa, Mai', 'Sayama, Riko', 'Sango, Minako', 'Toochika, Kouichi', 'Uchikawa, Ai', 'Arai, Shizuka', 'Yukie, Rena', 'Ogata, Kenichi', 'Madono, Mitsuaki', 'Kawai, Yoshio']
animeStaff	[['Oomiya, Saburou', 'Producer'], ['Yanagawa, Shigeru', 'Script, Series Composition'], ['Uda, Kounosuke', 'Storyboard'], ['Kunitake, Miyuki', 'Theme Song Composition']]
