animeTitle	Dekiru ka na
animeType	ONA
animeNumEpisode	10
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15762
animeDescription	"A group of children find a kit to a Geiger counter at Akihabara one day. It leads to a Natrium leak incident with a nuclear power Monju. They have the spirit of ""let's do anything, let's go anywhere"" to try anything.

(Source: MAL News)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
