animeTitle	Akuu Daisakusen Srungle
animeType	TV
animeNumEpisode	53
releaseDate	1983-01-21 00:00:00
endDate	1984-01-27 00:00:00
animeNumMembers	1236
animeScore	6.11
animeUsers	199
animeRank	8117
animePopularity	10600
animeDescription	"In the year 2545, an experiment gone wrong puts test pilot David Jance through the center of the galaxy and into another universe, which ends up in the middle of life and death struggle against the armies of GRIP, led by Dark Star. 

(Source: ANN)"
animeRelated	[]
animeCharacters	['Captain Jance', 'Sexy', 'Ankreerah', 'Baud Lion', 'Idoll', 'Magician', 'General Tab', 'Zashinsasu', 'Luna Elize', 'Archduchess']
animeVoices	['Nojima, Akio', 'Hirano, Fumi', 'Gouri, Daisuke', 'Onoda, Eiichi', 'Tonguu, Kyouko', 'Masuoka, Hiroshi', 'Aomori, Shin', 'Tsuda, Eizou', 'Kurosu, Kaoru', 'Sugita, Ikuko']
animeStaff	[['Kuriyama, Yoshihide', 'Episode Director, Storyboard'], ['Aikawa, Shou', 'Script'], ['Nitta, Ichirou', 'Theme Song Composition, Theme Song Arrangement'], ['Amano, Yoshitaka', 'Character Design']]
