animeTitle	Shuwarin☆Dorimin
animeType	Music
animeNumEpisode	1
releaseDate	2017-04-13 00:00:00
endDate	
animeNumMembers	1756
animeScore	6.3
animeUsers	843
animeRank	7193
animePopularity	9801
animeDescription	Music video of the project band Pastel＊Palettes.
animeRelated	['Yes! BanG_Dream!', 'Star Beat!: Hoshi no Kodou', 'Hashiri Hajimeta bakari no Kimi ni', 'TITLE IDOL', 'BanG Dream!']
animeCharacters	['Maruyama, Aya', 'Hikawa, Hina', 'Shirasagi, Chisato', 'Yamato, Maya', 'Wakamiya, Eve']
animeVoices	['Maeshima, Ami', 'Ozawa, Ari', 'Uesaka, Sumire', 'Nakagami, Ikumi', 'Hata, Sawako']
animeStaff	[['Pastel＊Palettes', 'Theme Song Performance']]
