animeTitle	Dynamic Chord
animeType	TV
animeNumEpisode	12
releaseDate	2017-10-06 00:00:00
endDate	2017-12-22 00:00:00
animeNumMembers	
animeScore	4.7
animeUsers	1223
animeRank	
animePopularity	5597
animeDescription	"Dynamic Chord is a record company and music agency representing the hottest artists right now with, in particular, four of the country's most popular bands.

They are rêve parfait with its own unique world view and progressive sound, Liar-S, an emo rock band, KYOSO, a group of highly-polished performers, and apple-polisher, which fuses dance with rock and roll. Against the backdrop of Japan's four seasons, comes a realistically depicted documentary movie about the encounters, breakups and trajectory of these 16 band members as they vie for musical preeminence.

(Source: TBS Global Business)"
animeRelated	['Dynamic Chord']
animeCharacters	['Kashii, Reon', 'Amagi, Narumi', 'Hinoyama, Sakura', 'Momose, Tsumugi', 'Suzuno, Chiya', 'Kashii, Aki', 'Kisaka, Yorito', 'Tsukinohara, Kuon', 'Otoishi, Yuusei', 'Kuroya, Yuu']
animeVoices	['Eguchi, Takuya', 'Aoi, Shouta', 'Terashima, Takuma', 'Kimura, Ryouhei', 'Okamoto, Nobuhiko', 'Hirose, Yuuya', 'Morikubo, Shoutarou', 'Toriumi, Kousuke', 'Sakurai, Takahiro', 'Ishikawa, Kaito']
animeStaff	[['Kageyama, Shigenori', 'Director, Script, Series Composition'], ['Honda, Yasunori', 'Sound Director'], ['Matsukawa, Tomohiro', 'Episode Director'], ['Katsuya, Kyouko', 'Script']]
