animeTitle	Galaxy Angel
animeType	TV
animeNumEpisode	24
releaseDate	
endDate	
animeNumMembers	
animeScore	7.02
animeUsers	9745
animeRank	
animePopularity	3566
animeDescription	"The Angel Brigade, an elite branch of the Transbaal Empire military, are assigned to search for The Lost Technology, mysterious items from the past that hold unknown powers. Led by the soon to retire Colonel Volcott O' Huey, the Angel Brigade travel to different planets using their specially designed Emblem Frame ships to search for Lost Technology. Unfortunately, they usually mess up somehow and end up getting into all kinds of weird and troublesome situations.

(Source: ANN)"
animeRelated	['Galaxy Angel', 'Galaxy Angel: Haitaishi no Kikan', 'Galaxy Angel Z', 'Galaxy Angel 3', 'Galaxy Angel 4', 'Galaxy Angel 3 Specials', 'Galaxy Angel Music Collection: Shouen to Shien no Cassoulet', 'Galaxy Angel Specials', 'Galaxy Angel Rune']
animeCharacters	"['Sakuraba, Milfeulle', 'Blancmanche, Mint', 'H, Vanilla', 'Stollen, Forte', 'Franboise, Ranpha', 'Normad', ""O'Huey, Volcott"", 'Gasteau', 'Patrick', 'Jonathan']"
animeVoices	['Shintani, Ryouko', 'Sawashiro, Miyuki', 'Kanai, Mika', 'Yamaguchi, Mayumi', 'Tamura, Yukari', 'Fujiwara, Keiji', 'Yasumura, Makoto', 'Suyama, Akio', 'Yoshino, Hiroyuki']
animeStaff	[['Satomi, Tetsurou', 'Producer'], ['Asaka, Morio', 'Director, Storyboard'], ['Oohashi, Yoshimitsu', 'Director'], ['Tanaka, Kazuya', 'Sound Director']]
