animeTitle	b'Dokusen'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.41
animeUsers	725
animeRank	
animePopularity	
animeDescription	"b""Kaoru wants Kyoshiro's girlfriend, Tsumugi, for himself. He meets Kyoshiro in a chat room and they make a contract. Kyoshiro and Kaoru will take turns training Tsumugi to be a sex slave, and they'll record their progress on a website. At the deadline, all the site's visitors will vote on which one of them deserves to be Tsumugi's boyfriend.\n\n(Source: ANN)"""
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
