animeTitle	Kurohime: Shikkoku no Yakata
animeType	OVA
animeNumEpisode	2
releaseDate	2002-05-31 00:00:00
endDate	2003-03-28 00:00:00
animeNumMembers	
animeScore	5.88
animeUsers	1480
animeRank	
animePopularity	7778
animeDescription	"A camping trip takes a turn for the wild when the group discovers a mystery mansion in the woods. Excitement turns to thrills of terror as people begin to disappear. Too late, they realize they are trapped in the clutches of a mysterious woman. Who is that woman and will the group of campers be able to escape the remote mansion?

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Maya', 'Wakamiya, Seiya', 'Shindou, Saeki', 'Akira', 'Chikami, Yukari', 'Oogami, Naoya', 'Kajiwara, Jun', 'Yukimura, Sayaka']
animeVoices	['Taguchi, Hiroko', 'Asano, Ruri', 'Gotanda, Masato', 'Miyata, Kouki', 'Motoi, Emi']
animeStaff	[['Saotome, Yuusaku', 'Director, Storyboard'], ['Watanabe, Jun', 'Sound Director'], ['Miyamae, Mitsuharu', 'Art Director'], ['Takigawa, Kazuo', 'Animation Director, Character Design']]
