animeTitle	High School Fleet Movie
animeType	Movie
animeNumEpisode	1
releaseDate	2020-01-18 00:00:00
endDate	
animeNumMembers	
animeScore	7.58
animeUsers	3269
animeRank	
animePopularity	4820
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['High School Fleet Interval (Movie)', 'High School Fleet OVA']
animeCharacters	['Misaki, Akeno', 'Munetani, Mashiro', 'Irizaki, Mei', 'Nosa, Kouko', 'Tateishi, Shima', 'Shiretoko, Rin', 'Braunschweig Ingenohl Friedeburg, Wilhelmina', 'China, Moeka', 'Kreutzer, Thea', 'Kaburagi, Minami']
animeVoices	['Natsukawa, Shiina', 'Lynn', 'Tanezaki, Atsumi', 'Kurose, Yuuko', 'Furuki, Nozomi', 'Kubo, Yurika', 'Igarashi, Hiromi', 'Amamiya, Sora']
animeStaff	[['Nobuta, Yuu', 'Director, Chief Animation Director'], ['Nakagawa, Jun', 'Director'], ['Morishita, Hiroto', 'Sound Director'], ['Suzuki, Takaaki', 'Script, Original Creator']]
