animeTitle	Tokyo Gambo
animeType	TV
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	8394
animeDescription	"The story will take place 100 years after the world was destroyed in the 21st century due to environmental destruction and depletion of resources. The story follows four girls who work at PARK, based on a real store in Harajuku that follows the theme of ""Fashion × Otaku × Creation.""

(Source: ANN)"
animeRelated	['Urahara']
animeCharacters	['Cacao', 'Haruko', 'May', 'Karin']
animeVoices	['Furihata, Ai', 'Aira, Rin', 'Itou, Miku', 'Kohara, Riko']
animeStaff	[['Arakawa, Masatsugu', 'Director'], ['Muramatsu, Hisashi', 'Sound Director'], ['Fukuda, Hiroko', 'Script'], ['Mogami, Moka', 'Theme Song Performance']]
