animeTitle	b'Magic Kaito'
animeType	b'Special'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.78
animeUsers	25763
animeRank	
animePopularity	
animeDescription	"b""Magic is not real\xe2\x80\x94everyone knows that. When performed by a true expert, however, magic possesses the ability to amaze and wonder its audience. Kaito Kuroba, son of world-famous stage magician Touichi Kuroba, is no stranger to this fact. Well-versed in the arts of deception and misdirection, Kaito frequently disrupts the lives of those around him with flashy tricks and pranks. But when Kaito accidentally stumbles upon a hidden passage in his home, he discovers a secret that may well have been the cause of his father's death eight years ago\xe2\x80\x94the dove-white outfit of Kid the Phantom Thief. Wanting to find out more about his father, Kaito dons the outfit and searches for the Pandora Gem that is said to grant immortality. However, he is not the only one after the gem\xe2\x80\x94the organization responsible for his father's death is also hot on his tail!\n\nMagic Kaito follows the rebirth of Kaitou Kid, phantom thief of the night. Utilizing his dummies, disguises, and signature card gun, Kaito sets out to steal the world's most precious jewels, uncovering the truth behind his father's death and the rumored Pandora Gem along the way.\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Magic Kaito', b'Detective Conan', b'Detective Conan OVA 04: Conan and Kid and Crystal Mother', b'Magic Kaito 1412']
animeCharacters	[b'Kuroba, Kaito', b'Nakamori, Aoko', b'Nakamori, Ginzou', b'Edogawa, Conan', b'Hakuba, Saguru', b'Kuroba, Touichi', b'Koizumi, Akako', b'Jones, Ruby', b'Hopper, Jody', b'Anne']
animeVoices	[b'\nYamaguchi, Kappei\nJapanese\n', b'\nFujimura, Ayumi\nJapanese\n', b'\nIshizuka, Unshou\nJapanese\n', b'\nTakayama, Minami\nJapanese\n', b'\nIshida, Akira\nJapanese\n', b'\nIkeda, Shuuichi\nJapanese\n', b'\nSawashiro, Miyuki\nJapanese\n', b'\nTanaka, Atsuko\nJapanese\n', b'\nHikasa, Youko\nJapanese\n', b'\nYuuki, Aoi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nHirano, Toshiki\n\nDirector\n\n', b'\nNagasaki, Yukio\n\nSound Director\n\n', b'\nSanpei, Hijiri\n\nEpisode Director\n\n', b'\nYoshinaga, Aya\n\nScript\n\n']
