animeTitle	Shounen Ninja Kaze no Fujimaru: Nazo no Arabiya Ningyou
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13928
animeDescription	"Kidnapped and rescued by a Ninja, Fujimaru has mastered martial arts over the years. Now he sets off on a journey to find his mother and also locate an old tome containing secret martial arts techniques.

(Source: AniDB)"
animeRelated	['Shounen Ninja Kaze no Fujimaru']
animeCharacters	['Kaze no Fujimaru']
animeVoices	['Komiyama, Kiyoshi']
animeStaff	[['Yabuki, Kimio', 'Episode Director'], ['Shirato, Sanpei', 'Original Creator'], ['Hattori, Kouichi', 'Music'], ['Kusube, Daikichirou', 'Animation Director']]
