animeTitle	b'BanG Dream! Film Live 2nd Stage'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'No synopsis information has been added to this title. Help improve our database by adding a synopsis here.'
animeRelated	[b'BanG Dream! 3rd Season', b'BanG Dream! Film Live']
animeCharacters	[b'Minato, Yukina', b'Aoba, Moca', b'Tsurumaki, Kokoro', b'Ichigaya, Arisa', b'Toyama, Kasumi', b'Imai, Lisa', b'Hikawa, Sayo', b'Mitake, Ran', b'Seta, Kaoru', b'Shirokane, Rinko']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nKidani, Takaaki\n\nExecutive Producer\n\n']
