animeTitle	Kaijin Kaihatsu-bu no Kuroitsu-san
animeType	TV
animeNumEpisode	Unknown
releaseDate	2022-01-09 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	8998
animeDescription	"Touka Kuroizu is a research assistant who belongs to the Monster Development Department of the evil organization Agastia. However, the enemy she has to fight right now isn't the heroes of justice, but her boss.

So long justice exists, evil too, will exist. This is the story of those who fight secretly in the shadows of justice and evil's confrontation.

(Source: MAL News)"
animeRelated	['Kaijin Kaihatsu-bu no Kuroitsu-san']
animeCharacters	['Bate, Wolf', 'Kuroitsu, Touka']
animeVoices	['Amano, Satomi', 'Maeda, Kaori']
animeStaff	[['Saitou, Hisashi', 'Director'], ['Takayama, Katsuhiko', 'Series Composition'], ['Morimae, Kazuya', 'Character Design'], ['Mizusaki, Hiroaki', 'Original Creator']]
