animeTitle	Yuru Yuri,
animeType	OVA
animeNumEpisode	1
releaseDate	2019-09-18 00:00:00
endDate	
animeNumMembers	24518
animeScore	7.69
animeUsers	7993
animeRank	1081
animePopularity	3644
animeDescription	"Akari Akaza, Chinatsu Yoshikawa, Kyouko Toshinou, and Yui Funami return to commemorate an exciting occasion! Despite their initial bizarre celebration ideas, they decide to hold a party at their Amusement Club room. With the help of friends from the Student Council, they start preparing for the big day—with a surprise planned for a special someone.

Join the girls as they work together to create an enjoyable and memorable party, all the while interacting with one another with their cute and unique quirks.

[Written by MAL Rewrite]"
animeRelated	['Yuru Yuri', 'Yuru Yuri San☆Hai!', 'Mini Yuri']
animeCharacters	['Toshinou, Kyouko', 'Akaza, Akari', 'Funami, Yui', 'Yoshikawa, Chinatsu', 'Sugiura, Ayano', 'Oomuro, Sakurako', 'Ikeda, Chitose', 'Furutani, Himawari', 'Akaza, Akane', 'Furutani, Kaede']
animeVoices	['Ootsubo, Yuka', 'Mikami, Shiori', 'Tsuda, Minami', 'Ookubo, Rumi', 'Fujita, Saki', 'Katou, Emiri', 'Toyosaki, Aki', 'Mimori, Suzuko']
animeStaff	[['Yamagishi, Daigo', 'Director'], ['Takahiro', 'Script'], ['Namori', 'Original Creator'], ['Nishijima, Shouhei', 'Key Animation, Animation Director']]
