animeTitle	Blue Seed Omake
animeType	Special
animeNumEpisode	14
releaseDate	1995-01-21 00:00:00
endDate	1996-06-21 00:00:00
animeNumMembers	
animeScore	6.81
animeUsers	1152
animeRank	
animePopularity	8565
animeDescription	"Extra bits meant to add to the Blue Seed story.

Episodes 1-13 are extras shown on the video releases of Blue Seed in Japan. They take place after every other episode, such as Omake 1 follows episode 2.

Episode 14 is an extra featured with OVA Blue Seed 1.5."
animeRelated	['Blue Seed', 'Blue Seed 1.5']
animeCharacters	['Kusanagi, Mamoru', 'Fujimiya, Momiji', 'Sawaguchi, Koume', 'Takeuchi, Ryoko', 'Kunikida, Daitetsu', 'Matsudaira, Azusa', 'Yaegashi, Yoshiki', 'Yamazaki, Sakura', 'Sugishita, Shunichi', 'Yagami, Murakumo']
animeVoices	['Inoue, Kazuhiko', 'Hayashibara, Megumi', 'Tamagawa, Sakiko']
animeStaff	[['Ishii, Akiharu', 'Animation Director']]
