animeTitle	Drifters: The Outlandish Knight
animeType	OVA
animeNumEpisode	1
releaseDate	2018-11-30 00:00:00
endDate	
animeNumMembers	
animeScore	7.33
animeUsers	6051
animeRank	
animePopularity	4088
animeDescription	Episode 15 of Drifters shipped with the special version of the manga's sixth volume.
animeRelated	['Drifters', 'Drifters (OVA)']
animeCharacters	['Shimazu, Toyohisa', 'Oda, Nobunaga', 'Nasu, Yoichi Suketaka', 'Kanno, Naoshi', 'dArc, Jeanne', 'Count Saint-Germi', 'Romanova, Anastasia Nikolaevna', 'Hijikata, Toshizou', 'Cassidy, Butch', 'Abe no, Haruakira']
animeVoices	[]
animeStaff	[['Hirano, Kouta', 'Original Creator'], ['Nagai, Masaru', 'Executive Producer']]
