animeTitle	Sakura-sou no Pet na Kanojo
animeType	TV
animeNumEpisode	24
releaseDate	
endDate	
animeNumMembers	
animeScore	8.14
animeUsers	595846
animeRank	
animePopularity	91
animeDescription	"When abandoned kittens and his good conscience force second year Sorata Kanda to move into Suimei High School’s infamous Sakura Hall, the satellite dorm and its eccentric, misfit residents turn his life upside down. The decidedly average Sorata finds it difficult to fit in with the bizarre collection of dorm residents like Misaki, an energetic animator; Jin, a playwright playboy; Ryuunosuke, a reclusive programmer; and Chihiro, the dorm manager, art teacher, and party girl.

Sorata's friend Nanami, a second year student and aspiring voice actress, pushes him to find new owners for the many cats so that he can quickly move back into the regular dorms. However, his desire to escape Sakura Hall wavers when the pet-like and infantile second year Mashiro Shiina, a world-class artistic savant looking to become a mangaka, transfers in during the spring trimester and quickly latches onto him.

Supported by each other's quirks, Sorata and Mashiro come out of their shells and trigger change in the lives of those around them. Based on the light novel series of the same name, Sakurasou no Pet na Kanojo explores the fine threads connecting talent, hard work, romance, and friendship with its ensemble cast.

[Written by MAL Rewrite]"
animeRelated	['Sakurasou no Pet na Kanojo']
animeCharacters	['Shiina, Mashiro', 'Aoyama, Nanami', 'Akasaka, Ryuunosuke', 'Kanda, Sorata', 'Kamiigusa, Misaki', 'Mitaka, Jin', 'Ainsworth, Rita', 'Maid-chan', 'Kanda, Yuuko', 'Sengoku, Chihiro']
animeVoices	['Kayano, Ai', 'Nakatsu, Mari', 'Horie, Yui', 'Matsuoka, Yoshitsugu', 'Takamori, Natsumi', 'Sakurai, Takahiro', 'Kawasumi, Ayako', 'Ogura, Yui', 'Toyoguchi, Megumi']
animeStaff	[['Ishizuka, Atsuko', 'Director, Episode Director, Storyboard'], ['Aketagawa, Jin', 'Sound Director'], ['Takashima, Daisuke', 'Episode Director'], ['Kurokawa, Tomoyuki', 'Episode Director']]
