animeTitle	b'Macross F Movie 2: Sayonara no Tsubasa'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.96
animeUsers	12260
animeRank	
animePopularity	
animeDescription	b'Second Macross Frontier movie.'
animeRelated	[b'Macross F', b'Macross F Movie 1: Itsuwari no Utahime', b'Gekijou Tanpen Macross Frontier: Toki no Meikyuu']
animeCharacters	"[b'Nome, Sheryl', b'Lee, Ranka', b'Saotome, Alto', b'Klang, Klan', b'Dyson, Isamu Alva', b'Sterne, Brera', b'Blanc, Mikhail', b'Lee, Ozma', b""O'Connor, Grace"", b'Nome, Mao']"
animeVoices	[b'\nEndou, Aya\nJapanese\n', b'\nNakajima, Megumi\nJapanese\n', b'\nNakamura, Yuuichi\nJapanese\n', b'\nToyoguchi, Megumi\nJapanese\n', b'\nHoshi, Souichirou\nJapanese\n', b'\nKamiya, Hiroshi\nJapanese\n', b'\nKonishi, Katsuyuki\nJapanese\n', b'\nInoue, Kikuko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSasaki, Shirou\n\nProducer\n\n', b'\nKawamori, Shouji\n\nDirector, Theme Song Lyrics, Screenplay, Creator, Mechanical Design\n\n', b'\nMima, Masafumi\n\nSound Director\n\n', b'\nAbo, Takao\n\nEpisode Director, Storyboard, Key Animation, Mechanical Design\n\n']
