animeTitle	b'Mahoutsukai Chappy'
animeType	b'TV'
animeNumEpisode	39
releaseDate	
endDate	
animeNumMembers	
animeScore	5.97
animeUsers	140
animeRank	
animePopularity	
animeDescription	"b'Chappy\'s story is much like Mahou Tsukai Sally (Little Witch Sally). Chappy becoming sick of the old customs of her people, left the Land of Magic for the human world. Soon her family sees how much she has in the other realm that they decided to join her new home. Chappy is known for being the first witch to use a wand. Her special chant is ""Abura Mahariku Maharita Kabura. \n\nMahou Tsukai Chappy is the fifth magical girl anime in history. \n\n(Source: Wikipedia)'"
animeRelated	[]
animeCharacters	[b'Chappy', b'Papa']
animeVoices	[b'\nMasuyama, Eiko\nJapanese\n', b'\nYada, Kouji\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOkazaki, Minoru\n\nEpisode Director\n\n', b'\nIkeda, Hiroshi\n\nEpisode Director\n\n', b'\nNagaki, Bonjin\n\nEpisode Director, Animation Director\n\n', b'\nKasai, Osamu\n\nEpisode Director\n\n']
