animeTitle	Isekai Maou to Shoukan Shoujo no Dorei Majutsu Ω
animeType	TV
animeNumEpisode	10
releaseDate	2021-04-09 00:00:00
endDate	2021-06-11 00:00:00
animeNumMembers	
animeScore	6.73
animeUsers	98521
animeRank	
animePopularity	634
animeDescription	Second season of Isekai Maou to Shoukan Shoujo no Dorei Majutsu.
animeRelated	['Isekai Maou to Shoukan Shoujo no Dorei Majutsu', 'Isekai Maou to Shoukan Shoujo no Dorei Majutsu Ω Mini Anime']
animeCharacters	['Diablo', 'Galleu, Rem', 'L. Greenwood, Shera', 'Weselia, Lumachina', 'Sylvie', 'Glebsklem', 'Edelgard', 'Rose', 'Bichelberger, Emile', 'Cristela, Alicia']
animeVoices	['Mizunaka, Masaaki', 'Waki, Azumi', 'Serizawa, Yuu', 'Itou, Miku', 'Ookubo, Rumi', 'Tanezaki, Atsumi', 'Katou, Emiri', 'Koga, Aoi', 'Okiayu, Ryoutarou', 'Hara, Yumi']
animeStaff	[['Kuwahara, Satoshi', 'Director'], ['Serizawa, Yuu', 'Theme Song Performance, Inserted Song Performance'], ['Itou, Miku', 'Inserted Song Performance'], ['Waki, Azumi', 'Inserted Song Performance']]
