animeTitle	Fastening Days 2
animeType	ONA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.23
animeUsers	342
animeRank	
animePopularity	12026
animeDescription	"A terrible incident suddenly hits a peaceful town. Will our young heroes be able to save everyone from this disaster? An exciting tale of bravery and adventure.

(Source: YouTube)"
animeRelated	['Fastening Days', 'Fastening Days 3']
animeCharacters	['Kei', 'Youji', 'Kelly', 'Anna']
animeVoices	['Kanda, Akemi']
animeStaff	[['Perfume', 'Theme Song Performance']]
