animeTitle	b'Naisho no Wakana-san'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.97
animeUsers	1282
animeRank	
animePopularity	
animeDescription	b'Wakana, a friend of the family, an older Sister onee-san archetype, attends a funeral with her much older husband of 15 years. That night, she has a liaison with the son of the family who is a younger man studying for his college entrance exams.'
animeRelated	[]
animeCharacters	[b'Mutou, Wakana', b'Takashi']
animeVoices	[b'\nAKKO\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nHayakawa, Naomi\n\nDirector, Character Design\n\n']
