animeTitle	Nezha Chuan Qi
animeType	TV
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14396
animeDescription	"The Legend of Nezha narrative The story of Natra, the heavenly boy who was born bare, very mischievous, but the temperament, the mentality of goodness, always towards the righteous. With powerful martial arts and magic, he tried to save the evil to bring peaceful life for people in the time of raging love.
"
animeRelated	['Nezha Nao Hai']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
