animeTitle	Samero
animeType	Movie
animeNumEpisode	1
releaseDate	1992-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	4.51
animeUsers	427
animeRank	
animePopularity	11616
animeDescription	Short film from animator Tsuji Naoyuki, who is known for his use of both charcoal and puppet animation.  Wake Up is a dark and brooding animation epitomizing his story telling style by combining serene worlds and childlike images with darkness and nightmarish scenes.
animeRelated	['Kiekaketa Monogataritachi no Tame ni']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
