animeTitle	Boin
animeType	OVA
animeNumEpisode	2
releaseDate	2005-08-25 00:00:00
endDate	2006-01-25 00:00:00
animeNumMembers	
animeScore	6.58
animeUsers	4681
animeRank	
animePopularity	4970
animeDescription	"Based on a game by Crossnet-Pie.

Daisuke Ichijo is a new teacher at Kisaragi Academy, an all female school, and he is assigned to be a job counselor. To find the appropriate job for students, he role-plays with the girl students who wear various uniforms such as a nurse, a shrine maiden, and so on."
animeRelated	['Resort Boin']
animeCharacters	['Iihara, Nao', 'Ichijou, Daisuke', 'Tsukushino, Mitsugu', 'Makuhari, Natsuko']
animeVoices	['Kajita, Yuuki', 'Ono, Daisuke', 'Naruse, Mia']
animeStaff	[['Murakami, Kotaro', 'Producer'], ['Awai, Shigeki', 'Director'], ['Happoubi, Jin', 'Original Character Design']]
