animeTitle	Kamiarizuki no Kodomo
animeType	Movie
animeNumEpisode	1
releaseDate	2021-10-08 00:00:00
endDate	
animeNumMembers	5129
animeScore	
animeUsers	
animeRank	16555
animePopularity	6921
animeDescription	"This is a story of a 12-year-old girl, Kanna, born as a descendant of the Gods. Her family has a mission to deliver offerings from all over Japan to the Gods’ gathering in Izumo. Although Kanna’s mother was to complete the mission, her passing prompted Kanna to finish the task, hoping she could reunite with her dead mother in the Gods’ land at the end of her journey.

(Source: Anime Expo)"
animeRelated	[]
animeCharacters	['Yasha', 'Shiro', 'Hayama, Kanna', 'Ookuninushi', 'Ryuujin', 'Miki', 'Hayama, Yayoi', 'Hayama, Norimasa', 'Ebisu']
animeVoices	['Irino, Miyu', 'Sakamoto, Maaya', 'Makita, Aju', 'Kamiya, Akira', 'Takagi, Wataru', 'Nagase, Riko', 'Shibasaki, Kou', 'Iura, Arata', 'Chafurin']
animeStaff	[['Iwanami, Yoshikazu', 'Sound Director'], ['Mochizuki, Tomomi', 'Storyboard'], ['Sakamoto, Kazuya', 'Storyboard'], ['Shirai, Takana', 'Storyboard']]
