animeTitle	Wakaokami wa Shougakusei! Movie
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.51
animeUsers	6116
animeRank	
animePopularity	4692
animeDescription	"After losing her parents in a car accident, Okko goes to live in the countryside with her grandmother, who runs a traditional Japanese inn built on top of an ancient spring said to have healing waters. While she goes about her chores and prepares to become the inn's next caretaker, Okko discovers there are ghosts who live there that only she can see – not scary ghosts, but playful child ghosts who keep her company and help her feel less lonely. A sign outside says the spring welcomes all and will reject none, and this is soon put to the test as a string of new guests challenge Okko's ability to be a gracious host. But ultimately Okko discovers that dedicating herself to the happiness of others becomes the key to taking care of herself.

(Source: Animation is Film Festival)"
animeRelated	['Wakaokami wa Shougakusei!']
animeCharacters	['Seki, Oriko', 'Tateuri, Makoto', 'Akino, Miyo', 'Suzuki', 'Akino, Matsuki', 'Suiryou, Seiko', 'Seki, Mineko', 'Kise, Bunta', 'Kise, Torako', 'Kise, Shouta']
animeVoices	['Kobayashi, Seiran', 'Matsuda, Satsumi', 'Endou, Rina', 'Kozakura, Etsuko', 'Mizuki, Nana', 'Horan, Chiaki', 'Ichiryuusai, Harumi', 'Yamadera, Kouichi', 'Orikasa, Fumiko', 'Tanaka, Masato']
animeStaff	[['Kousaka, Kitarou', 'Director'], ['Mima, Masafumi', 'Sound Director'], ['Yoshida, Reiko', 'Script'], ['Fujiwara, Sakura', 'Theme Song Performance']]
