animeTitle	Choujigen Kakumei Anime: Dimension High School
animeType	TV
animeNumEpisode	11
releaseDate	2019-01-10 00:00:00
endDate	2019-03-21 00:00:00
animeNumMembers	8867
animeScore	5.13
animeUsers	1625
animeRank	11247
animePopularity	5578
animeDescription	"The high school boys transferred to an anime world while they are in cramming school. Since then, they start school life in the anime world they transferred in. 

(Source: MAL News)"
animeRelated	[]
animeCharacters	['Mizukami, Yurio', 'Momoya, Soushi', 'Kikawada, Tsuyoshi', 'Shiroyama, Junpei', 'Midorigaoka, Ryuusei', 'Paramesos, Sphinx', 'Spudio the 22nd', 'Jigen no Shisha']
animeVoices	['Hashimoto, Shouhei', 'Someya, Toshiyuki', 'Zaiki, Takuma', 'Ishii, Takahide', 'Ootsuka, Takeo', 'Suwabe, Junichi', 'Eguchi, Takuya', 'Aoi, Shouta']
animeStaff	[['Abe, Yuuichi', 'Director, Script'], ['Ootsuka, Takeo', 'Theme Song Performance'], ['Hashimoto, Shouhei', 'Theme Song Performance'], ['Zaiki, Takuma', 'Theme Song Performance']]
