animeTitle	Fukigen na Mononokean Tsuzuki
animeType	TV
animeNumEpisode	13
releaseDate	2019-01-05 00:00:00
endDate	2019-03-30 00:00:00
animeNumMembers	
animeScore	7.57
animeUsers	16865
animeRank	
animePopularity	2732
animeDescription	"Despite being burdened with crippling debt to the morose Haruitsuki Abeno, Hanae Ashiya has come to enjoy his job as an exorcist. His ability to communicate with youkai has given him a sense of responsibility regarding the magical creatures, and he continues to work hard to send them to their true home in the Underworld.

As Ashiya’s life finally stabilizes, the youkai threaten to upset it once again. Knowledge of his existence has begun to spread, and not everyone is happy to have a human working for the Mononokean, the interdimensional tea room. But one day, a simple visit to the Underworld draws the attention of those in power, and Ashiya soon learns that not every youkai is willing to go along with Abeno's plans.

[Written by MAL Rewrite]
"
animeRelated	['Fukigen na Mononokean']
animeCharacters	['Abeno, Haruitsuki', 'Ashiya, Hanae', 'Rippou', 'Moja', 'Fujiwara, Zenko', 'Yahiko', 'Shihou', 'Shizuku', 'Koura', 'Ashiya, Nara']
animeVoices	['Maeno, Tomoaki', 'Kaji, Yuki', 'Suwabe, Junichi', 'Takagaki, Ayahi', 'Ootani, Ikue', 'Shimono, Hiro', 'Hashimoto, Chinami', 'Hikasa, Youko', 'Itou, Miki']
animeStaff	[['Kawasaki, Itsurou', 'Director, Storyboard'], ['Morishita, Hiroto', 'Sound Director'], ['Fukuda, Gen', 'Episode Director'], ['Nagahama, Norihiko', 'Episode Director']]
