animeTitle	b'Futa-bu!!'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.19
animeUsers	8681
animeRank	
animePopularity	
animeDescription	"b""A relaxing vacation at the Manra Valley onsen is just what the members of the Futabu, or Futanari Club, signed up for. Officially, their goal is to research the harvest festival native to the area for a high school project. Unofficially, they're there to have a little fun, and the springs are an aphrodisiac..."""
animeRelated	[b'Futabu! Mix', b'Futa-bu!', b'Futa-bu! Mix: Futanari World']
animeCharacters	[b'Asakura, Mao', b'Oohashi, Sumika', b'Itou, Aya', b'Aihara, Ai', b'Niimura, Akane', b'Elen', b'Togami, Chie']
animeVoices	[b'\nSachi, Yun\nJapanese\n', b'\nAkimoto, Nerine\nJapanese\n', b'\nAshiya, Kyouko\nJapanese\n', b'\nTakanashi, Konoko\nJapanese\n', b'\nObana, Momoko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nBosshi\n\nOriginal Creator\n\n']
