animeTitle	b'Lime-iro Senkitan'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	5.93
animeUsers	2815
animeRank	
animePopularity	
animeDescription	"b'Around the the 37th year of the Meiji Era (1904), in the midst of the Russo-Japanese war, the small Japanese army, in need of assistance, uses its special flying (thanks to a benevolent demon) ship, the Amanohara, to attack Russia\'s major base at Port Arthur (Lushun).\n\nUmakai Shintaro, a Russian diplomat originally from Japan, defects and goes to Sapporo to teach at a girls academy. However, that girls academy is not typical\xe2\x80\x94it is on board the Amanohara, and the five girls Shintaro teaches are known as the Raimu Unit\xe2\x80\x94girls with the ability to summon powerful beings to fight for them. Shintaro eventually becomes their teacher and general in battle, and so the six embark on a weird and excessively erotic journey, as Shintaro helps the girls overcome their weaknesses, become stronger for the final stand at Lushun, and also understand the motives of the ""Russian Spiritual Corps"" that assist the opponent, which, unfortunately, has one member whom Shintaro knew well...\n\n(Source: ANN)'"
animeRelated	[b'Lime-iro Senkitan: Nankoku Yume Roman', b'Lime-iro Ryuukitan X']
animeCharacters	[b'Umakai, Shintaro', b'Sanada, Momen', b'Honda, Sarasa', b'Kuroda, Rinzu', b'Naoe, Shuro', b'Katou, Asa', b'Fukushima, Kinu', b'Masanosuke, Date', b'Kuki', b'Saten']
animeVoices	[b'\nMiki, Shinichiro\nJapanese\n', b'\nShimizu, Ai\nJapanese\n', b'\nOtomiya, Tsubasa\nJapanese\n', b'\nAimoto, Yuka\nJapanese\n', b'\nSasajima, Kaoru\nJapanese\n', b'\nAoki, Sayaka\nJapanese\n', b'\nHiyama, Nobuyuki\nJapanese\n', b'\nKoorogi, Satomi\nJapanese\n', b'\nKanai, Mika\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTanaka, Kazuya\n\nSound Director\n\n', b'\nTakashima, Daisuke\n\nEpisode Director\n\n', b'\nYoshioka, Takao\n\nScript\n\n', b'\nKoyasu, Hideaki\n\nScript\n\n']
