animeTitle	Nexus
animeType	Music
animeNumEpisode	1
releaseDate	2011-09-14 00:00:00
endDate	
animeNumMembers	4280
animeScore	5.86
animeUsers	1931
animeRank	9175
animePopularity	7463
animeDescription	"Third single release from ClariS featuring a tie-up song with the light novel ""Ore no Imouto ga Konna ni Kawaii Wake ga Nai"". Limited edition of volume 9 of the novel includes a bonus DVD with the music video.

(Source: AniDB)"
animeRelated	['Ore no Imouto ga Konnani Kawaii Wake ga Nai']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
