animeTitle	Kamigami no Ki
animeType	TV
animeNumEpisode	16
releaseDate	
endDate	
animeNumMembers	
animeScore	6.05
animeUsers	144
animeRank	
animePopularity	11737
animeDescription	"Set during 3000 BCE in the Nile region of Egypt, Kamigami no Ki (""Chronicles of the Gods"") will depict the comical misadventures of Bastet, Anubis, Ra, and the mysterious ghost Medjedo as well as their caretakers, Iabi and Ahkeu.

(Source: Crunchyroll)"
animeRelated	['Kamigami no Ki: Xmas Special']
animeCharacters	['Medjed', 'Anubis', 'Ahkeu', 'Iabi', 'Ra', 'Bastet']
animeVoices	['Morikawa, Toshiyuki']
animeStaff	[['Hino, Tommy', 'Director, Script'], ['Morikawa, Toshiyuki', 'Theme Song Performance']]
