animeTitle	Koukai Benjo The Animation
animeType	OVA
animeNumEpisode	2
releaseDate	2013-03-22 00:00:00
endDate	2013-06-28 00:00:00
animeNumMembers	5975
animeScore	6.1
animeUsers	2010
animeRank	
animePopularity	6514
animeDescription	Every month, one random girl becomes a comfort station as students and staff from around the school use the comfort station for pleasure.
animeRelated	['Koukai Benjo']
animeCharacters	['Kujou, Reika']
animeVoices	[]
animeStaff	[['Hayakawa, Naomi', 'Director, Storyboard, Character Design'], ['Hakaba', 'Original Creator'], ['Sawayama, Shinichiro', 'Screenplay'], ['Akatsuki, Shion', 'Animation Director, Character Design']]
