animeTitle	b'Denshinbashira Elemi no Koi'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.14
animeUsers	938
animeRank	
animePopularity	
animeDescription	"b""Elemi, known as a responsible hard worker, is one of many utility poles servicing a small city. One day during maintenance, she is emotionally touched by Takahashi, the young man who repairs her. She decides to thank him and begins calling him regularly, masquerading as a human.\n\nDays go by and soon all the utility poles in the city are aware of Elemi's budding romance. Elder utility poles urge her to put an end to it. Even if Elemi is able to win the blessing of her society, she still has to face the challenge of revealing her true identity to Takahashi. In a time before cell phones, when all calls were carried by utility poles, Denshinbashira Elemi no Koi tells the story of the tragic romance between a utility pole and and a utility worker.\n\n[Written by MAL Rewrite]"""
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
