animeTitle	Maria-sama ga Miteru 3rd Specials
animeType	Special
animeNumEpisode	5
releaseDate	
endDate	
animeNumMembers	
animeScore	7.32
animeUsers	3232
animeRank	
animePopularity	6222
animeDescription	"A series of chibi-style ""outtakes"" from the ""shooting"" of the Mariamite series."
animeRelated	['Maria-sama ga Miteru 3rd']
animeCharacters	['Ogasawara, Sachiko', 'Fukuzawa, Yumi', 'Toudou, Shimako', 'Matsudaira, Touko', 'Shimazu, Yoshino', 'Hasekura, Rei', 'Nijou, Noriko', 'Torii, Eriko', 'Arisugawa, Kintarou', 'Satou, Sei']
animeVoices	['Itou, Miki', 'Ueda, Kana', 'Noto, Mamiko', 'Kugimiya, Rie', 'Ikezawa, Haruna', 'Itou, Shizuka', 'Shimizu, Kaori', 'Nabatame, Hitomi', 'Minagawa, Junko', 'Toyoguchi, Megumi']
animeStaff	[['Matsushita, Yukihiro', 'Director'], ['Iwanami, Yoshikazu', 'Sound Director'], ['Hibiki, Reine', 'Original Character Design']]
