animeTitle	Tokyo Vice
animeType	OVA
animeNumEpisode	1
releaseDate	1988-06-25 00:00:00
endDate	
animeNumMembers	1745
animeScore	5.32
animeUsers	680
animeRank	10871
animePopularity	9799
animeDescription	One night at a rock concert, a mysterious man dies while leaving a floppy disc with a member of the Rutz Detective Agency. Soon they realize the disk contains information about a deadly new weapon under development. The heroes become involved in a game of political subterfuge and military espionage, hot on the trail of the killer!
animeRelated	[]
animeCharacters	['Yamazaki, Keiko', 'Nagareyama, Akira', 'Touma, Junpei', 'Touma, Kumiko']
animeVoices	['Hirano, Fumi', 'Shiozawa, Kaneto', 'Yao, Kazuki', 'Komori, Manami']
animeStaff	[['Yamasaki, Osamu', 'Director'], ['Honda, Yasunori', 'Sound Director'], ['Funayama, Motoki', 'Theme Song Arrangement'], ['Oobari, Masami', 'Key Animation']]
