animeTitle	Gunnm
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.08
animeUsers	24136
animeRank	
animePopularity	2484
animeDescription	"Doc Ido, a doctor and mechanic who lives and works in the hellish, postapocalyptic ""Scrapyard"", finds the—miraculously preserved—remains of a female cyborg in a junk heap. After he revives and rebuilds her, the preternaturally strong, amnesiac ""Gally"" begins to forge a life for herself in a world where every day can bring a fight for life. Adapts the first two volumes of the ""Battle Angel Alita"" manga."
animeRelated	['Gunnm', 'Gunnm 3D Special']
animeCharacters	['Gally', 'Yugo', 'Ido, Daisuke', 'Zapan', 'Chiren', 'Gonzu', 'Gime', 'Vector']
animeVoices	['Itou, Miki', 'Yamaguchi, Kappei', 'Kairya, Shunsuke', 'Totani, Kouji', 'Koyama, Mami', 'Kishino, Kazuhiko', 'Sogabe, Kazuyuki', 'Chiba, Shigeru']
animeStaff	[['Greenfield, Matt', 'Producer, ADR Director'], ['Fukutomi, Hiroshi', 'Director'], ['Kishiro, Yukito', 'Original Creator'], ['Wada, Kaoru', 'Music']]
