animeTitle	b'Nanatsu no Taizai OVA'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.54
animeUsers	88074
animeRank	
animePopularity	
animeDescription	b'OVA bundled with the 15th and 16th volume of the manga.\n\n15th volume DVD will feature the sin of greed as the central character.\n\n16th volume DVD will feature side stories of the main characters in omnibus format.\n\n(Source: MAL News)'
animeRelated	[b'Nanatsu no Taizai']
animeCharacters	[b'Ban', b'Meliodas', b'King', b'Hawk', b'Gowther', b'Diane', b'Liones, Elizabeth', b'Merlin', b'Elaine', b'Gilthunder']
animeVoices	[b'\nSuzuki, Tatsuhisa\nJapanese\n', b'\nKaji, Yuki\nJapanese\n', b'\nFukuyama, Jun\nJapanese\n', b'\nKuno, Misaki\nJapanese\n', b'\nTakagi, Yuuhei\nJapanese\n', b'\nYuuki, Aoi\nJapanese\n', b'\nAmamiya, Sora\nJapanese\n', b'\nSakamoto, Maaya\nJapanese\n', b'\nKoiwai, Kotori\nJapanese\n', b'\nMiyano, Mamoru\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nFLOW\n\nTheme Song Performance, Theme Song Composition, Theme Song Lyrics, Theme Song Arrangement\n\n', b'\nMAN WITH A MISSION\n\nTheme Song Composition, Theme Song Lyrics, Theme Song Performance, Theme Song Arrangement\n\n', b'\nGRANRODEO\n\nTheme Song Performance, Theme Song Arrangement, Theme Song Lyrics\n\n', b'\nTakigawa, Alisa\n\nTheme Song Performance, Theme Song Lyrics, Theme Song Composition\n\n']
