animeTitle	b'Kyoto Animation: Ajisai-hen'
animeType	b'Special'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.6
animeUsers	2417
animeRank	
animePopularity	
animeDescription	b'Kyoto Animation commercial.'
animeRelated	[b'Kyoto Animation: Hoshi-hen', b'Kyoto Animation: Hana-hen', b'Kyoto Animation: Sora-hen', b'Kyoto Animation: Ikitaku Naru Omise-hen', b'Kyoto Animation: Hassou-hen', b'Kyoto Animation: Megane-hen', b'Kyoto Animation: Kasa-hen', b'Kyoto Animation: Suiei-hen', b'Kyoto Animation: Meiji-hen', b'Kyoto Animation: Souzou-hen']
animeCharacters	[b'Sarasa', b'Miyuu', b'Mahana', b'Honomi']
animeVoices	[b'\nKudou, Akari\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nIkeda, Shoko\n\nEpisode Director, Storyboard, Character Design, Animation Director\n\n', b'\nTakemoto, Yasuhiro\n\nKey Animation\n\n', b'\nHoriguchi, Yukiko\n\nKey Animation\n\n', b'\nIshidate, Taichi\n\nKey Animation\n\n']
