animeTitle	Gakkou no Kaidan Recaps
animeType	Special
animeNumEpisode	2
releaseDate	2000-11-15 00:00:00
endDate	2001-01-03 00:00:00
animeNumMembers	1762
animeScore	6.04
animeUsers	517
animeRank	8470
animePopularity	9783
animeDescription	A new year special where Momoko stars to remember some of the adventures, she has had with her friends.
animeRelated	['Gakkou no Kaidan']
animeCharacters	['Koigakubo, Momoko', 'Miyanoshita, Satsuki']
animeVoices	['Sakuma, Kumi', 'Kawakami, Tomoko']
animeStaff	[]
