animeTitle	Tenkuu Senki Shurato
animeType	TV
animeNumEpisode	38
releaseDate	1989-04-06 00:00:00
endDate	1990-01-25 00:00:00
animeNumMembers	
animeScore	7.22
animeUsers	4214
animeRank	
animePopularity	5427
animeDescription	"A 16-year-old boy named Shurato and his friend Gai happen to be drawn into a gigantic ball of light while competing in the final match of a martial arts tournament. When they regain their senses, they find themselves transferred to a mystic heavenly sphere with a divine atmosphere. It's soon discovered that Shurato used to be the governing king of this world and that he has only been brought to his original state. Shurato is shocked as Gai suddenly turns hostile. After this unfortunate incident, a spectacular yet fantastic drama develops involving the two.

(Source: ANN)"
animeRelated	['Tenkuu Senki Shurato', 'Tenkuu Senki Shurato: Sousei e no Anto', 'Tenkuu Senki Shurato Recaps']
animeCharacters	['Hidaka, Shurato', 'Kuroki, Gai', 'Reiga', 'Hyouga', 'Renge', 'Shiva', 'Ryouma', 'Vishnu', 'Fudoumyou, Acalanatha', 'Katei, Kubilah']
animeVoices	['Seki, Toshihiko', 'Koyasu, Takehito', 'Inoue, Kazuhiko', 'Horiuchi, Kenyuu', 'Hayashibara, Megumi', 'Wakamoto, Norio', 'Yamadera, Kouichi', 'Shimamoto, Sumi', 'Sasaki, Nozomu']
animeStaff	[['Kuri, Ippei', 'Producer'], ['Kato, Takao', 'Episode Director'], ['Masunari, Koji', 'Episode Director'], ['Nishikubo, Mizuho', 'Episode Director, Storyboard']]
