animeTitle	b'Shin Don Chuck Monogatari'
animeType	b'TV'
animeNumEpisode	73
releaseDate	
endDate	
animeNumMembers	
animeScore	6.08
animeUsers	170
animeRank	
animePopularity	
animeDescription	b'More adventures for Chuck and his friends.\n\n(Source: AniDB)'
animeRelated	[b'Don Chuck Monogatari']
animeCharacters	[b'Don Chuck']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nSekita, Osamu\n\nEpisode Director\n\n', b'\nTakagaki, Kouzou\n\nEpisode Director\n\n', b'\nAndou, Toyohiro\n\nScript\n\n', b'\nOosugi, Kumiko\n\nTheme Song Performance\n\n']
