animeTitle	Uchuu no Stellvia
animeType	TV
animeNumEpisode	26
releaseDate	2003-04-03 00:00:00
endDate	2003-09-25 00:00:00
animeNumMembers	22024
animeScore	7.37
animeUsers	8415
animeRank	2081
animePopularity	3830
animeDescription	"The year is 2356 A.D. - 189 years after a distant supernova caused a global catastrophe that wiped out 99% of the world population. To keep track on all space activities, mankind has built colossal space stations called ""foundations"" all over the Solar System. After passing the Space Academy entrance exams, Shima Katase embarks to the Earth-based foundation Stellvia to fulfill her dream of seeing the galaxy and to prevent another interstellar catastrophe from destroying Earth.

(Source: ANN)"
animeRelated	['Uchuu no Stellvia']
animeCharacters	['Katase, Shima', 'Glennorth, Arisa', 'Otoyama, Kouta', 'Fujisawa, Yayoi', 'Machida, Ayaka', 'Kazamatsuri, Rinna', 'Barthes, Leila', 'Carlos, Enrique', 'Omaezaki, Tony', 'Mills, Akiko']
animeVoices	['Nonaka, Ai', 'Matsuoka, Yuki', 'Mizushima, Takahiro', 'Orikasa, Fumiko', 'Toyoguchi, Megumi', 'Hirohashi, Ryou', 'Shindo, Naomi', 'Kazama, Yuuto', 'Takahashi, Yugo', 'Takahashi, Mayuko']
animeStaff	[['Nakanishi, Go', 'Producer'], ['Satou, Tatsuo', 'Director, Script, Storyboard, Planning'], ['Mima, Masafumi', 'Sound Director'], ['Suzuki, Toshimasa', 'Episode Director, Storyboard']]
