animeTitle	Little Village People
animeType	TV
animeNumEpisode	15
releaseDate	2008-09-06 00:00:00
endDate	2008-12-13 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	18258
animeDescription	"Set in Penguin Village Hills, one of the most boring towns in the world in a certain region, it depicts how unique young people are involved in daily events and events.
While Penguin Village Hills Cable TV's popular TV show ""24-hour, 365-day TV"" hosted by Thunder Paper Bags flows through the city, various incidents (both serious and non-critical) occur. "
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
