animeTitle	Mirai no Watashi
animeType	ONA
animeNumEpisode	2
releaseDate	2016-03-15 00:00:00
endDate	2017-04-27 00:00:00
animeNumMembers	
animeScore	6.26
animeUsers	2051
animeRank	
animePopularity	7711
animeDescription	"The shorts are part of McDonald's new ""Crew ni Narou. Campaign"" (Join the Crew. Campaign) to attract part-time restaraunt staff members.

(Source: ANN)"
animeRelated	['Attakai tte, Gohoubi da.']
animeCharacters	['Hoshino, Ikumi', 'Hibino, Sumire']
animeVoices	[]
animeStaff	[]
