animeTitle	Emblem Take 2
animeType	OVA
animeNumEpisode	2
releaseDate	1993-10-25 00:00:00
endDate	1995-11-21 00:00:00
animeNumMembers	1424
animeScore	6.62
animeUsers	449
animeRank	5487
animePopularity	10284
animeDescription	"Shinjuku, 1983. A member of the Kaeda Yakuza gang, Akutsu Jouji, has lost in a brawl with a university cheering squad, and begs for forgiveness through bitter tears. Since then, nothing has gone well in Jouji's life, until 10 years later in 1993, his friend was ordered to kill him, and as he ran away he killed himself, ending his miserable life.

But when Jouji opened his eyes, he was in Shinjuku in 1983, at the fight with the university students that caused things to go wrong. Now with ten more years of memories and experience, Jouji repels the university students with spirit and wisdom. Now he swears to wear a gold emblem around town, and begins his life anew.

(Source: Hokuto no Gun)
"
animeRelated	['Emblem Take 2']
animeCharacters	['Akutsu, Jouji', 'Fukunaga, Takashi', 'Takayama, Tadashi', 'Sayama, Hisashi', 'Okita, Tsutomu', 'Oonishi, Yasuo', 'Nakanishi, Kenzo', 'Yano, Kinya', 'Ebara, Shingo', 'Yamazaki, Tadayoshi']
animeVoices	['Morikawa, Toshiyuki', 'Canna, Nobutoshi', 'Yara, Yuusaku', 'Kakegawa, Hirohiko', 'Isobe, Hiroshi', 'Satou, Masaharu', 'Matsuo, Ginzou', 'Nakamura, Daiki', 'Hayami, Show', 'Kobayashi, Kiyoshi']
animeStaff	[['Imazawa, Tetsuo', 'Director'], ['Shimizu, Junji', 'Episode Director'], ['Urahata, Tatsuhiko', 'Script'], ['Miyamae, Mitsuharu', 'Art Director']]
