animeTitle	Usagi no Matthew
animeType	TV
animeNumEpisode	52
releaseDate	2018-04-05 00:00:00
endDate	2019-04-04 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	12351
animeDescription	"The story centers on Matthew, a daydreaming worrywart of a rabbit. Matthew also has two friends: Keron, a pessimistic frog who is fond of good-luck charms; and Ham, a hamster of few words and who moves through life at his own pace. The story follows the three animals' everyday lives within a mysterious forest. 

(Source: ANN)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
