animeTitle	b'Kaibutsu-kun (1980)'
animeType	b'TV'
animeNumEpisode	94
releaseDate	
endDate	
animeNumMembers	
animeScore	6.47
animeUsers	399
animeRank	
animePopularity	
animeDescription	b'Kaibutsu-kun and his companions, Dracula, Wolfman, and Franken, travel from Kaibutsu Land to the Human Realm, where they encounter and battle several monsters, mainly assassins from the demon group Demonish.\n\n(Source: Wikipedia)'
animeRelated	[b'Kaibutsu-kun', b'Kaibutsu-kun: Demon no Ken', b'Kaibutsu-kun: Kaibutsu Land e no Shoutai']
animeCharacters	[b'Kaibutsu, Tarou', b'Franken', b'Dracula', b'Doctor Noh', b'Ookami Otoko', b'Ichikawa, Hiroshi', b'Kaiko-chan', b'Ichikawa, Utako']
animeVoices	[b'\nNozawa, Masako\nJapanese\n', b'\nKanemoto, Shingo\nJapanese\n', b'\nKimotsuki, Kaneta\nJapanese\n', b'\nNomoto, Reizou\nJapanese\n', b'\nKamiyama, Takuzou\nJapanese\n', b'\nMiwa, Katsue\nJapanese\n', b'\nMasuyama, Eiko\nJapanese\n', b'\nKawashima, Chiyoko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNozawa, Masako\n\nTheme Song Performance\n\n', b'\nKimotsuki, Kaneta\n\nTheme Song Performance\n\n', b'\nFujiko, Fujio F.\n\nOriginal Creator\n\n', b'\nFujiko, Fujio (A)\n\nOriginal Creator\n\n']
